,without_tag
520,"Presiden Jokowi Benar, Kalo Calon Ibu Kota yg baru Tidak Banjir.Knapa demikian...? Krn Pada saat Presiden Melihat Lokasi, Memang Tidak Banjir. Para pengikutnya He'eh aja Tuannya ngomong spt itu. Tdk dikaji lebih dlm.Kenyataannya..?Banjir DOEL..!"
521,Banjir parah kokas
522,"  baniir kedua kalinya tepatnya Gang Karya  menteng atas, setiabudi jaksel dan banjir kali ini paling parah hampir mau selutut"
523,Cipuy udah siap diangkut pas banjir semalem.. Cr. : Pak Satpam 
524,"Cukup mantau dari WA, facebook, semua status banjir.Semoga nnt malam jalanan yg saya lewatin gk banjir (Masalah berat aja bisa saya lewatin masa banjir gk… "
525,Kaum rebahan   
526,This my school how about your school ?  
527,Banjir gauiz! 
528,"Untuk ciwi jgn keluar rumah dulu yaaa sebelum banjir surut, takut hamil."
529,Bakalan banjir lagi Jakarta besok nih! 
530, 
531,Semoga besok banjir udah surut yaaaBiar cepat kelar
532,"Mohon ijin mas   ""Kita harus bersyukur banjir besar di hari libur lho. Ini kalau bukan An*es gubernur SOLEH doanya ini (banjir) terjadi Senin, Selasa, Rabu,"" "
533,"Aeon Mall Jakarta Garden City Di demo warga sekitar yang terdampak banjir hari ini,Stay safe temen yg lg mengais rezeky dsana  "
534,"Jadi mreka warga luar cluster terdampak banjir yg komplain krn mreka kebanjiran, tapi daerah Cluster Aeon MallJGC TIDAK kena sam-sek  "
535,"            Ini seharusnya sdh warning terakhir bg pemerintah Jakarya. Pls, jgn sampai terulang lagi seperti begini. Manajemen antisipasi bencana di kota besar kok kaya pasrah aja. Auto pilot style. Nggak ada usaha yg signifikan sejak banjir thn baru."
536," Bukan soal banjir kanal, hanya air kolam renang instan yg antri masuk ke tanah. Gitu aja kok, prioritas solusi yg masih kalah urutan sama politis aja kok."
537,"Yang penting formula E ttp terlaksana.Banjir?Ntar aja, kalo inget.."
538,Kapos gue pun yang tinggal dibekasi kena banjir. Dan brief pagi Beliau begini  
539,banjir banjir
540,Allah Maha Baik untuk hambanya yg gak hapal rute jkt. Disuruh pulang aja. Banjir.  
541,Banjir yak? bisa kepake lagi cuti force majeure nya deh..Terimakasih pak Anies huehue
542,Legok permai banjir tidak ya?
543,Yang penting banjir dulu 
544,TERPANTAU HUJAN TAPI TIDAK BANJIR TAPI KAMAR BOCOR.
545," sepaha orang dewasa, di Pondok Jaya III-Pela Mampang... dan masih ujan juga   "
546," Greenlake juga sama mas. Gak banjir si kompleknya, tapi akses menuju kompleknyaKemarin anak kontrakan lama ada yg sempet gabisa pulang. Udah paling bener tinggal di kebon nanas"
547,"Nga lama nge twet wajah baru Jakarta,  langsung dikirim musibah,  sebaiknya jangan pamer  keberhasilan padahal kegagalan.Coba inget inget sdh berapa kali nyombong, langsung dibayar kontan banjir  sepertinya alam juga sebel. "
548,"Iya juga  maaf bro,  nti klo banjir lagi hari kerja,  yg hari minggu kan masa promo. "
549," Tadi pagi telepon ortu di rumah, di dalam rumahku udah banjir sepaha, di jalanan kemungkinan udah sampai pinggang.. daerah Boulevard sama Pasar family bisa jadi lebih parah lagi."
550,   Siapa pula yg bilang itu solusi... Cuma mo kasih tahu sejak ratusan tahun lalu Jakarta itu udah langganan banjir.  Siapapun gubernurnya gk bakalan bisa atasi.  Termasuk yg janji atasi kalau jd presiden aja nyerah. Pilih pindah ibukota.  
551,"Pulang jangan lewat sini, banjir tau"
552,Asrama banjir mantap sekali
553,Belom yg dari kali aja naik ini   
554,Banjir? Jogetin aja......            @ Buncit Rolas 
555,"Indonesia gampang bgt klo mau buat Parasite versi kita. Shoot di Tambora,Koja, sama shoot di kompleks perumahan elite Pondok Indah, Menteng, PIK, Kemang, atau apartemen mewahKejadian warga korban banjir ngamuk di Aeon udh jd slh satu potret nyata"
556,Saldo kek yg banjir jangan jakarta mulu
557,Sama bgt banjir ngga bocor iya 
558, 
559,Perihal banjir kita mau nyalahin siapa lagi? Presiden? Gubernur? Pemerintah? Atau intropeksi diri :((
560,"Diluar negeri virus corona, di Indonesia banjir..  Ya allah semoga kami selalu berada dalam lindunganmu Aaminn "
561,Penangkal cuaca hujan lebat..   
562,BANJIR DI HARI LIBUR 
563,Ey mau ke kuningan aja muter kiri banjir muter kanan banjir hedeh
564,"  Makasih pak anies, jadinya saya bisa work from home terus tiap ujan deres dan banjir"
565, Di kemang utara ix  
566,"depan kemchik , tendean, mampang, pasar buncit banjir "
567,"Banjir belum surut,  udah raining again.. Stay safe everyone ~"
568,Banjir anjing
569, jangan di update banjiritu cuma 
570,Banjir jakarta. Sekolah keponakan gue diliburin dong  
571,Kalau banjir motornya lewat tol aja biar cpet nyampe kantor..
572,Ngapunten sak meniko sampen dinten selasa dan banjir tesih parah. Pripun  ? Mbok nak nggawe statement sik pas ro kahanan. 
573,"Next time pilih pemimpin Pisces sekali dehGemini udah, taurus udah Masih aja banjir *halu nunggu hujan"
574,Titik banjir makin banyak yg baru. Perumahan yg tdnya ga banjir skrg banjirMakin bingung buat org yg mau beli rumah di Jakarta dan sekitarnyaUdh paling enak tinggal di Bandung emang
575,"Dl pas kecil pertama kli ke Jakarta, gw sk heran kok berani ya org ini punya rumah tingkat  bahkan . Ga takut sm gempa? Maklum, d Bengkulu seeing bgt gempaOh ternyata, disini mereka adanya banjir"
576,"Wajah baru Jakarta? Apaan, ini mah flashback ke masa lalu Jakarta kalo dimana mana banjir mah wkwkw"
577," tahun berangkat dan pulang kerja gak pernah ngelewatin banjir tinggi tapi hari ini mesti terjang banjir hampir sepaha! This really gets on my nerve! Anies ini gak pengen mundur apa? Seriously, if you still defend him at this state you really have to get your head checked! "
578,"Kalo posisi begini dengan keadaan jkt banjir, kalo ada yg hamil salah siapa dong? "
579,Ujan terus dari semalem huahaha.. Banjir lagi kah? 
580,"Maaf Bos, bukannya gak mau menerjang banjir. Cuma belum siap menafkahi anak² aja kalau ikut nyebur banjir dengan lawan jenis."
581,Jaga kesehatan dan selalu sabar yg namanya sama  
582,"  Banjir terjadi hanya pada hari libur. Hari ini banjir, belum ada pergub banjir=cuti bersama?"
583,"Gak cuti bersama, min?  Banjir kan biasanya hari libur? "
584,  Dapet berkat bilang banjir berkah
585,"Om kan kasih kerja itu seperti admin sosmed, liat banjir trus upload haha "
586,"Ini kondisi  depan rumah, di jalan raya pasar minggu jam . pagi "
587,Banjir trs meeting dipostpone. Yuk selimutan yuk
588,  
589,"Hari ini banjir, hari ini hari kerja. Hikmah apa yang mau diambil kalo banjirnya di hari kerja ? Mau sampe kapan banjir dipandang dari satu sudut pandang. Tolonglah. "
590,Banjir menyerang sklh gw...  
591,Demi pendidikan banjirpun sa tempuh. 
592,". Pagi Hari () - Kondisi sisa rintik hujan, semoga pompa aktif dan  cepat surut. Lokasi Jl. pondok jaya IX, Pela Mampang, Mampang Prapatan, Jakarta Selatan, antara  s.d  cm.  cc :    "
593,Banjir ya?
594,kalo banjir gede gini kan males bet ngejelasinnya sma bos udah tau bos cinaa..  kdang ngerti kadang kaga uhuhu
595,"Malam pak goodbener  sekarang setiap kali hujan saya ngga bisa tidur, rumah saya bulan ini rekor x banjir sebetis masuk rumah (plus sepinggang pas tahun baru). Unprecedented, hebat sekali pak goodbener prestasinya, semoga dapat banyak pahala "
596," Tolong modify cuaca, banjir sama dengan  January "
597, fyi banjir lagi X   . Hebat hebaaaaaattttt 
598, Banjir lagi  wowwww X WOWWW
599," Pak, kali mampang tidak ada sensor padahal banjir akhir ini sering dan sangat parah. Tidak ada effort dari pemerintah untuk upgrade kali mampang? Kenapa perbaikan masa Ahok stop?"
600,Bos  banjir bos. Bangun bos
601,"Banjir di Pondok Jaya , Mampang Prapatan Jaksel. Tinggi air sudah selutut orang dewasa  "
602,Akhir ini kaga bisa tidur tenang kalo ujan kepikiran banjir mulu etdah
603,banjir muluuu
604,"Baru per Januari pindah Jkt, per  feb stay d kosan, blm ada sebulan eeh kena banjir. Di Bali aman ajaa sejauh ini. Banjir berkat semoga ya, dan smga pertama dan terakhir kali gw alamin banjir.Kesel bgt gue sama si titik titik titik ehehe :"")Bersyukur msh aman selamat badan gw"
605," Kahans stay daerah mana? Sama kak, aku jg kena banjir di utkay :(jam  subuh ktnya airnya masuk.untung ak pas nginep d tempat ka nina dan br liat kmrn sore kosanku yaaampunn sedihh bgt gue. Baru pindah jkt Januari lsg kena banjir :"")semangat kak!"
606,"Barang gw rusak saat banjir ada TV, kompor listrik, kipas, buku tabungan, deposito, pasport yg baru gw perpanjang di Bali kmrn. Kosan gw br ditempatin per  Feb kmrn di tgh itu gw dinas  mgu ke luar kota. Jadi mgkn hny sktr  mgu kurang gw di kosan itu :"")Bersyukur ajaah"
607,dan ada brg lainnya yg basah kena banjir. Sedih bgt gue wkwk
608,Emang harus ngalamin sendiri dulu biar ngerti rasanya.Harus kehilangan kakaa saat tsunami baru bener paham arti kehilangan/dukacita yg sedalamnya.Harus rasain banjir br bener bs ngerti rasanya kehilangan brg yg lo sukai/syg bgt.Dan org lain blm tentu bs paham itu.
609,Programnya ga jelas buat ngatasin banjir 
610," banjir ga ham, gw liat berita bekasi juga ada yg kena banjir ya."
611,"Selamat Malam, mudahan besok gak Banjir ya   "
612," hahaha atau attitude org lain. Woi lari ga jadi, kapan neh? eh tp klo td lari jatuhnya renang ya. kan banjir wkwwk"
613,Pasti tepar bgt org yg kena banjir dari jam - pagi.
614,Jangan lupa tengokin rscm 
615, Tengoklah ke dalam RSCM 
616,"Cuddle aja yuk....Gg jadi CFD-an nya,banjir"
617,   
618, Aku sudah on the brink of maki bapak 
619,Banjir woy banjir 
620,Jauh jauh ke Jakarta dikasih banjir 
621,Banjir semua jalan
622, Banjir nya diatas maksudnya?
623," Makanya mau ga mau disini , enaknya ya ga banjir trus klo mau pergi naik busway or kereta aksesnya gampang"
624,"Alert, siyap banjir lg ya  "
625,"Disini hujan deres banget udah setengah jam lebih,,semoga ga banjir di daerah yang emang langganan banjir "
626,    Muke gile!  Bukannya banjir urusin!
627,Kali pesanggrahan sdh selevel jalan. Bnk berdoa agar hujan reda dan gak ada limpahan air dari hulu    
628,ga bisa leewat  
629,   
630,+ banjir sentuy.. 
631,BANJIRAnies mana TOA mu 
632,"  Kalau setiap warga diWAJIBkan bisa berenang untuk menghadapi banjir nanti kalau banyak wanita HAMIL diluar nikah, siapa yang harus tanggung jawab"
633,Banjir dikampus pulomas membuat uas di cancel dan bsk diliburkan dg kata lain ujian osce diundur :)
634,  Masih banjir kah cipete?
635,"Bayangin kota lagi kebanjiran terus airnya dibuang ke laut, tiba-tiba datang air rob dari laut. Warga ngungsi kedataran tinggi, lalu terjadi longsor / banjir lahar dingin......."
636,Jakarta yang banjir aku yang repot
637,"Diskusinya online ajah, jalanan dan stasiun banjir  "
638,"Untuk wanita di daerah yg terkena banjir hati-hati, jangan sampe kena air di daerah kewanitaannya, nanti bisa hamil.  "
639,  Dipikir saya ngga takut hamil kali mas. Mana kemarin ada berita hamil dikolam renang. Inu malah banjir jadi makin inspekture dong saya
640,"Daerah saya mah nggak banjir, tapi mau berangkat kondangan ke mantan rasanya berat bedh."
641,Banjir Jakarta ini kayak errornya indihome di rumah gue.  bulan sampe  kali 
642,Lagi banjir 
643, 
644,Gimana rumahmu? Banjir?
645,"Kena banjir sih engga, tapi hujan deras, akses kena banjir, dan macet lah yang bikin susah ngantor."
646," Banjir mah gapapa, kan yang penting Formula E terkenal Dunia Akhirat hehehe."
647,Masih keadaan ngegoler diatas kasur... Jalanan ke kantor beberapa ditutup.... Imperium katanya basement udah banjir.... Dan aku masih berharap .... Huhuhuhuuu 
648,"Boro-boro ketemu gage, udah kena banjir duluan kendaraannya. "
649,"Pak  maap nih bukan saya hater atau mau ngebully, tapi kalo daerah yg seumur hidup ngga kena banjir lalu sekarang dalam  bulan udah kena banjir  kali, berarti ada yg salah penanganan nih?Ngga perlu main kata lagi, pak. Kasih solusi nyata langsung lah."
650,Banjir guys. Jangan berenang. Nanti hamil 
651, Banjir lagiii 
652, Klsnya dilantai  mana mungkin kena banjir :(((
653,"Bangun tidur, beritanya semua ttg banjir.."
654,"Ngomongin macet &amp; banjir Jakarta emang ga bakal kelar, paling bener pindah kota emang..Pindah ke mana ya enaknya?"
655,Ciledug tangerang banjir nih pasti salah anies nih hahhahahhaha otak dangkal
656, Bang tempat lu banjir ngga? Habis ini bakal ada ava putih yg reply dibawah
657,Coba deh lo ngetweet selipin kata : banjir  pasti ada yang reply.
658,"Yang di pamulang-ciputat stay safe ya, tadi lewat depan ramayana ciputat udah banjir seleherSeleher khoocheng"
659, Langitnya biru gabakal banjir
660,Sudah dipastikan besok banjir (kembali)
661,Pantesan banjir ternyata turun dengan derasnya ketika orang lagi terlelap bobo toh :) 
662, Jelanya tanah harus kering dan tidak boleh lembab untuk mencegah banjir. 
663,"Kalaupun dibuat sumur resapan,tapi tanahnya lembab yaa... sama saja banjir juga. "
664,Akibat banjir jakarta yg nggak selesai-selesai     
665,BANJIR ITU HAMILISASI. kolam renang cuma sekolam. banjir sepropinsi. 
666,Kolam genangan banjir Jakarta  Februari yak? 
667,Jakarta banjir lagi di beberapa titik yaaa..
668,Sampe monas aja  tapi Cirendeu terutama jl. SD Inpres masih baik saja aku merasa sedikit bersyukur meski ujian macet tak pernah berhentiHappy weekend gals
669,"Kita tahu, Sungai Citarum merupakan sungai yang melintasi Bandung, Bandung Barat, Purwakarta, Karawang, Bekasi dan berujung di Jakarta. Selain sering menjadi penyebab banjir, Sungai Citarum juga tercemar limbah karena kerapkali menjadi pembuangan limbah industri dan rumah tangga. "
670,"Ngga kebayang saat kejadian, mungkin ilustrasinya seperti ini ketika banjir datang tanpa aba-aba   "
671," Jangan, Jakarta sering banjir. Nanti nyetrum."
672,jam segini masih hujan deras bikin khawatir banjir maneh.
673,"Mimpi  eternyata air netes dari atap. Kok bisa ya, hujan deras nih pasti. Huft. "
674," min, dari warung jati ke jcc naik tj ada kendala banjir ga?"
675,"Liat  tuh, banjir sampah dmn mn "
676,"Saya jg bingung knp ya sambil bawa uler. Ulang video kirain ada laporan hati ktemu ular di lokasi banjir, blablabla... eh ga ada.  "
677,Untung loker ga banjir. Kalo banjir sepatu gueeee 
678,Banjir banjir datang lagi~
679,"Dimana mana banjir, yg kering gua rasa dompet gua doang"
680,gw sama sekali ngak berharap banjir..kecuali di istana..knp ngak tenggelam saja.. 
681," Ya emang, diedit biar ala banjir di jepang katanya airnya ga coklat :("
682,"Pagi-pagi dirumah ribut ada banjjr, yang lain sibuk mindahin mobil ke tempat yang lebih tinggi. Aku sibuk meneruskan mimpi, biarkan saja mobil mandi genangan banjir   emang top bodo amatnya    "
683,"Ini bahaya, konflik antar warga karena Banjir.   "
684, Sby jg banjir kagak ada yg marah? *tambahin
685,"Tidak ada banjir di Jakarta, kata fans berat mAnies"
686,"buka twitter, banjirbuka facebook, banjirbuka instagram, banjirtp kok giliran buka dompet, kering ya"
687,"Kemarin berkilah silat lidah, klaim syukur banjirnya di hari libur berkat doa. Sekarang langsung dibayar kontan banjir pas hari kerja "
688,"Akhirnya hanya diam tidak ada tindakan mencari solusi mencegah banjir...banjir hari libur ?! ,sekarang hari Selasa  mungkin dia sendiri yang libur ."
689,"  Kerugian akibat banjir Jakarta ratusan milyar  ,menyengsarakan warganya ..."
690,Jakarta Darurat Banjir! Stay safe kawan!
691,"Banjir kota nya, Susah payah warganya hebat gbener "
692," banjir di mata ni,  gmn dong hmm"
693,  
694,"hanya bisa berdoa, ketemukanlah sama abang gojek baik yg mau menerjang banjir. agar saya bisa kerjaa~ aminn"
695, woiii masih jauh woiii...urusin DKI noh banjir seharian..beresin dlu yg skrg gausah ngimpi pilpres dlu
696,banjir banjir banjir mantap jiwa
697,"Dan terjadi lagi, banjir jl. HR Rasuna Said kuningan depan bpjs yg baru.   "
698,"Musim penghujan tahun depan, barangkali saya tidak akan terlalu sering merancang rencana perjalanan. Percuma berencana, jika banjir sewaktu-waktu bikin berantakan."
699,rasuna said banjir ga sih??? bisa lewat kan ya
700,"Ini hari selasa pak, banjir  "
701, Yang jam  gagal menembus hujan dan banjir 
702, jkt banjir lagi bikin gebrakan cari solusi kerahkan semua bawahannya jng cuman pantau doang
703,"Cape ih beresin rumah, banjir mulu udah kaya rutinitas :("
704,"Hujan masih deras saat saya bangun tadi ,...entah bagaimana nasib warga lain yang masih tinggal di bantaran sungai ....semoga tidak banjir ..."
705,"Malam tgl  Februari hujan deras...sudah menit ,semoga hujan cepat berhenti wanti wanti  banjir lagi..."
706,"Jakarta emg suka bikin warganya tidur ga tenang, jam segini mulai ujan, jam  banjir"
707,"banjir di jkt ga pilih ya, kalo diluar jkt biasanya yg kena banjir rumah sederhana"
708,"nahh kan bener tambah deres, bentar lagi jktinfo update foto banjir"
709,"Semoga yg bertugas ditengah banjir ini tetap sehat dan kuat. G semua org tau ditengah bertugas ada keluarga yg ditinggalkan, rumah yg juga kebanjiran, tapi masih dapat nyinyiran dr orang."
710,Ini selasa banjir  
711,Buka Twitter lihat banjir gak taunya depan rumah kebanjiran juga hehe 
712,semoga yang terkena banjir lekas surut dan aman
713,"Jakarta mulai Siaga  banjir, dari semalem ujan deres :’)"
714,masya Allah bangun pergi tidur ujan bangun tidur ujan dan banjir. stay safe teman yg rumahnya sampe masuk... luvv 
715,Ya Allah hujan nggak brenti 
716,"Semoga hujan segera redah,banjir cepat surut,yang beraktivitas hari ini tak ada kendala. Stay safe Jakartans.."
717,Banjir lagi dimana manafor the first time di  masih bulan ke  tapi udah berapa kali banjir
718, Gua rasa pagi ini nih org pura amnesiakrna skrg banjir di selasaKata dia senin selasa rabu g banjirsebegitunya pny akal asal jeplak doang tuh mulut
719,Dengan hujan yang begini deras dan lama... Daerah mana saja yang akan banjir di Jakarta?
720,Aku + hujan + indomie + teh anget = banjir 
721, Banjir kek kali kali wkekek
722,  Hhhhhh....sdh tau goblok knp ditanggapin bang ...jakartakan emang daerah banjir dr dulunya hanya org dungu yg gak paham
723,Sejarahnya Jakarta itu Banjir. Ud baca sejarah Jakarta belom? Emang pasti banjir. Masa nyalahin gub  ? Mau s jadi Gub jg bakal banjir dan dihujat. Inga inga
724,Banjir kau.komplein..maling duit jiwasraya dll asiong..kau sdh protes jokowi...? 
725,"Curah hujan sedang tinggi, banjir, yg salah gubernurnya. Kalo di sumatera sering gempa, mungkin yg salah juga gubernurnya ya."
726,"Shame on you, hasil jualan agama ya gini.. Banjir dah kek minum obat, gabener baperan NOL BESAR  "
727,Banjir maneh kakak...
728,"  Yang banjir ya banjir ....trusss karna dana penanggulangan banjir dipotong  ,yang mo balapan ya bahagia karena dananya , T , pada hal yang mo balapan orang bule (kafir)."
729, Benar mbak semoga tidak banjir kasihan yang kebanjiran ...setiap kali hujan mereka sewa rumah atau tidur dipinggir jalan dengan perut keroncongan....menahan lapar...
730, Ngeri banjir.
731, No pic banjir keringat hoax
732," Dulu  awal kampung w kena banjir, lanjut , ,  jadi ajang  taon sekali,  ke , jadi setaon sekali, januari  ke februari  jadi ajang sebulan sekali, bahkan februari ini udah x, mantap sih signifikan "
733,"min apakah hari ini rawajati, kalibata akan mati lampu karna dampak banjir? "
734,Aiptu Dedi. S Binamas Ds. Ciakar sambang/Dds Control terdampak banjir dengan Bpk. Kusnandar ketua RT setempat beserta warga perum duta Asri. Utk yg terdampak banjir  rumah sedalam - Cm di perum Duta Asri  kamp. Cukqnggalih Rt. / desa. Ciakar. Selasa (//). 
735,Iptu. Muslim Sihotang. SH (Kanit Binmas) bersama Aiptu Gunaedi memantau warga yang terkena banjir dengan ketinggian air -+  cm di Perumahan Duta Asri Kp.Cuanng Galih Esa Cakar Kec.Panongam Tangerang. Selasa (//). 
736,"Aiptu Maswan Bhabinkamtibmas Desa Serdang Kulon Pantau lokasi banjir wilayah Ds Serdang kulon Ketinggian air  cm di Cluster Mutiara Curug  Rt. / Ds Serdang kulon Blok E, imbas dari meluapnya air kali Cirarab. Selasa (//). "
737,Aiptu Dedi. S Binamas Ds. Ciakar Pantau lokasi banjir wilayah Perum Duta Asri  Kp. Cukanggalih Rt. / Ds. Ciakar kec. Panongan ketinggian air mulai surut. Selasa (//). 
738,Gimana orang orang mau belanja di pasar tradisional kalau pasarnya aja banjir terus.kalah perawatannya sama mall
739,Waktunya menebar postinganKarena rejeki itu di cariBukan di nantiSemoga pedagang online banjir orderan Aamiin Aamiin Ya Allah Ya Rabbal Alamiin  --------------------------------------------Open… 
740,Banjir tidak menyurutkan semangat indrea untuk tetap masuk sekolah Semangat mencari ilmu Semangat belajar       
741,"Tahun ,  bln ini sudah  X Jakarta banjir, korban harta bahkan nyawa, transportasi LUMPUH, EKONOMI macet       "
742,"TANDA ZAMAN ! Jakarta Banjir Parah, Pohon Besar Tumbang di Depan Rumah Dinas Anies Di Menteng.       "
743,"Pagi ini pohon roboh di depan rumah dinas Gubernur DKI Jakarta Anies Baswedan Jalan Taman Suropati, Jakarta, Selasa (/).        "
744,"Jakarta Banjir Lagi, Rumah Mewah  Artis TINA TOON dkk. Ini Juga Jadi Korban      "
745,"BANJIR JAKARTA jadi sorotan media asing!Straits Times dan Channel News Asia soroti bencana banjir Jakarta: ""Hujan deras Jakarta lumpuh, jalan berubah berwarna cokelat. Media Amerika Serikat, Bloomberg   "
746,"DPRD DKI kritik pedas Gubernur DKI Anies soal pencegahan banjir Jakarta. Banjir koq  kali terjadi dalam dua bulan terakhir.""Kalau banjir sekali itu musibah, tapi kalau berkali-kali itu keterlaluan,    "
747,"BANJIR JAKARTA jadi sorotan media asing!Straits Times dan Channel News Asia soroti bencana banjir Jakarta: ""Hujan deras Jakarta lumpuh, jalan berubah berwarna cokelat. STAR &amp; Media Amrik, Bloomberg   "
748,"Anies ditanya oleh wartawan terkait banjir yg terus terjadi di wilayah Jakarta, mengatakan banjir terjadi karena debit hujan yang tinggi.""Kalau boleh izinkan saya bekerja sehingga bisa menuntaskan (banjir).   "
749,"Gara -Gara Banjir Warga Ngamuk, Demo Anarkis !Harap Hindari Jakarta Garden City..Karena ada Demo Warga Kebanjiran yang Sudah Mulai Anarkis...Cc        "
750,"WARGA BAHAGIA ! Warga menggeruduk Mal AEON JGC Cakung, Jakarta Timur, siang ini. Massa menuding mal tersebut sebagai penyebab banjir.      "
751,"KA Anjlok krn banjir Di Kota, ancorr Wan TOA     "
752,males keluar ngeri banjir
753, Jadi banjir deh..
754,"Jembatan cinta pinggir kosan. Sumber kebahagiaan anak anak gang senggol, kalo banjir renang dah mereka :"" "
755,Inii gaji hanyut kebawa banjir apa gimana udah jam segini blm ada sms cinta masuk 
756,"Kerusuhan di cakung , cara pengalihan masalah sebetul nya ,,, masalah banjir di jakarta secara keseluruhan    gak mau ngaku gak becus"
757,Colorful jakarta 
758,Ayookkk bikin pansus banjir minta pertanggungjawaban gabener    
759,Stay safe buat semua temen-temen yang kena banjir. Tetap semangat  
760,BLESSING IN DISGUISE dalam episode: salemba banjir 
761,Baru bulan ke- di  dan Jakarta udah berapa kali banjir 
762,Banjir adalah sebutan untuk ketua rukun warga di bali.
763,"     Ya ampun. Rumah milliaran, hilang keindahannya gegara banjir."
764,"Udah bangun kesiangan. Paksa berangkat gawe. Jadwal kereta ancur parah. Nyampe kalibata, gojek gaada yg mau ambil. Sekalinya dapet taunya banjir. Dan pas paksain lewat alternatif, kantor libur grgr banjir. Taiiiiii "
765,"WAN TOA : Pemprov DKI Focus tangani evakuasi korban Banjir, TIDAK jawab soal ""Cara pencegahan banjir""        "
766,"BARU  KALI INI ! Jakarta Banjir, Underpass Senen dan Fly over Kemayoran Terendam          "
767,"JANTUNG JAKARTA KELELEP, KRISIS ! Selasa,  Feb  : WIB. MONAS, Jalan Medan Merdeka Timur Tergenang Jalan MH Thamrin di depan Sarinah banjir.       "
768,"Banjir di Monas Jakarta Pusat. Air menggenangi Jalan Medan Merdeka Timur arah Monas Timur, di depan gedung Pertamina.Jalan Medan Merdeka Timur tak bisa dilintasi.      "
769,JAKARTA BANJIR DISOROT INTERNASIONAL !! WAN TOA PERLU Segera Di Evaluasi! DPRD DKI JANGAN Tidorrr          
770,Banjir Makin Parah ! Ibukota harus Segera pindah ke Kaltim 
771,"""JANGAN CUMA GAYA"" !DPRD DKI Akhirnya Sepakat Bentuk Pansus DPRD DKI, panitia khusus (pansus) banjir, guna mengawasi kinerja Pemprov DKI soal penanggulangan banjir.       "
772,"Setelah RSCM, sekarang RS Husada Jl. P Jayakarta banjir. Gak pernah kejadian sebelumnya. Baru pagi ini.        "
773,"JAKARTA LUMPUH ! Jalan MH Thamrin, Jakarta kelelep !Sebanyak  gardu listrik PLN tidak dioperasikan Di Pondok Kopi, Menteng, Cawang, Kemang, Cempaka Putih, demi keselamatan. (//).     "
774,Banjir Jakarta Makin Parah ! Ibukota harus Segera pindah ke Kaltim 
775,"TOA, TOA, Selasa pagi Stasiun KA Sudirman banjir, KA STOP, Jl Cikini Raya, Menteng KELELEP, kenderaan tdk Bisa lewat !         "
776,"Makin Ngeri, Jakarta Banjir Makin Parah ! Ibukota harus Segera pindah ke Kaltim    "
777,"Selasa,  Feb  : WIB. MONAS, Jalan Medan Merdeka Timur Tergenang Jalan MH Thamrin di depan Sarinah banjir.       "
778,"Kampus ASMI jln Perintis Kemerdekaan, P Gadung,  pagi ini kelelep         "
779,"Air genangan warnanya TIDAK Biru !! Selasa pagi, Banjir merendam bundaran Patung Kuda Arjuna Wijaya, saat kawasan itu terendam banjir, genangan air berwarna cokelat.       "
780,"TOA, TOA, Selasa pagi Stasiun KA Sudirman banjir, KA STOP, Jl Cikini Raya, Menteng KELELEP, kenderaan tdk Bisa lewat !        "
781,"Lokasi Langganan demo  kelelep ! Bundaran Patung Kuda &amp; Monas tergenang banjir. Hujan masih terus mengguyur kawasan ini, Selasa (//) pukul . WIB pagi.      "
782,"Kampus ASMI jln Perintis Kemerdekaan, P Gadung,  pagi ini kelelep     "
783," Dana jumbo Rp , T yg dikucurkan Pemprov DKI Jakarta untuk Formula E, akan jauh lebih bermanfaat jika dipakai buat mengantisipasi banjir.     "
784,"TOA, JAKARTA LUMPUH!  Selasa pagi Stasiun Sudirman KELELEP, operational kereta terhenti, Menteng banjir, Cikini collaps !        "
785,"JANTUNG JAKARTA KELELEP, KRISIS ! Selasa,  Feb  : WIB. MONAS, Jalan Medan Merdeka Timur dan Jalan MH Thamrin depan Sarinah banjir.      "
786,"LUMPUH Jakarta banjir. Jalur Transjakarta tergenang, tak melayani penumpang.Tiga koridor yang lumpuh jurusan Kalideres-Pasar Baru, jurusan Pinang Ranti - Pluit, serta jurusan Pulogebang-Kampung Melayu    "
787,"Kampus ASMI jln Perintis Kemerdekaan, P Gadung,  pagi ini kelelep        "
788, Waahh hati hati yaaa... Jalanan pasti licin dan banyak terkena banjir
789,Emang sekarang hari libur ndasmu????? Ini hari selasa goblooosssss!!!! Banjir tuh dimana mana... Pemimpin salah kok masih dibela kayak gini. Gubernur soleh apaaann? Takabur! Sombong! Terkutuklah kemakan omongan sendiri!!    
790,"Teman semua bagaimana di sekitar anda? Yg terkena banjir hati  ya, semalaman hujan sampe pagi ini...kondisi pagi ini di taman sepat, samping rumah, taman udh mulai ketutup air limpahan sungai yg airnya tinggi &amp; melimpah "
791,"(((( BANJIR SELALU HARI LIBUR ))))Skrg hari selasa banjir, kira kira omongannya berubah ga? "
792,"Entah pada ga tau atau gmna, tp yg jelas katulampa ke jakarta itu jauh bgt, setelah katulampa msh ada sedikit bogor, cibinong dan depok.. apakah daerah ini bisa jd penyebab banjir?"
793,"Jd solusi yg saya berikan buat pak  pak  pak  yaitu adanya normalisasi di jakarta dan buat waduk di depok, karna normalisasi tanpa waduk penahan di depok ya percuma.. cm mindahin banjir aja bkn mengurangi"
